identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000005211,1815GD,1,161,woonfunctie,Verblijfsobject in gebruik,0361100000016511
0361010000004759,1824EV,80,137,woonfunctie,Verblijfsobject in gebruik,0361100000025431
0361010000003175,1831BN,8,132,woonfunctie,Verblijfsobject in gebruik,0361100000047554
0361010000001275,1826JA,15,72,woonfunctie,Verblijfsobject in gebruik,0361100000037875
0361010000002779,1816BP,67,140,woonfunctie,Verblijfsobject in gebruik,0361100000024261
0361010000001790,1813ZE,126,85,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000003693,1825PX,6,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005212,1815GD,2,135,woonfunctie,Verblijfsobject in gebruik,0361100000016804
0361010000004214,1827JT,49,56,woonfunctie,Verblijfsobject in gebruik,0361100000123673
0361010000003176,1831BN,9,131,woonfunctie,Verblijfsobject in gebruik,0361100000047603
0361010000001276,1826JC,16,139,woonfunctie,Verblijfsobject in gebruik,0361100000037605
0361010000002323,1817HK,20,132,woonfunctie,Verblijfsobject in gebruik,0361100000102547
0361010000002780,1817BK,68,173,woonfunctie,Verblijfsobject in gebruik,0361100000102463
0361010000001791,1813ZE,127,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000004761,1824EV,82,148,woonfunctie,Verblijfsobject in gebruik,0361100000025432
0361010000003694,1825PX,7,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000001792,1813ZE,128,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000003177,1831BN,10,131,woonfunctie,Verblijfsobject in gebruik,0361100000047552
0361010000001277,1826JA,17,116,woonfunctie,Verblijfsobject in gebruik,0361100000037636
0361010000001793,1813ZE,129,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000002324,1817HK,24,131,woonfunctie,Verblijfsobject in gebruik,0361100000026319
0361010000002781,1816BP,69,142,woonfunctie,Verblijfsobject in gebruik,0361100000024265
0361010000003695,1825PX,8,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005214,1815GD,4,155,woonfunctie,Verblijfsobject in gebruik,0361100000016801
0361010000004763,1824EV,84,137,woonfunctie,Verblijfsobject in gebruik,0361100000025435
0361010000004215,1827JT,50,56,woonfunctie,Verblijfsobject in gebruik,0361100000123673
0361010000003178,1831BN,11,133,woonfunctie,Verblijfsobject in gebruik,0361100000047601
0361010000001794,1813ZE,130,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000001278,1826JC,18,139,woonfunctie,Verblijfsobject in gebruik,0361100000037604
0361010000005215,1815GD,5,150,woonfunctie,Verblijfsobject in gebruik,0361100000016509
0361010000002782,1817BK,70,161,woonfunctie,Verblijfsobject in gebruik,0361100000024076
0361010000003179,1831BN,12,132,woonfunctie,Verblijfsobject in gebruik,0361100000047549
0361010000001795,1813ZE,131,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000004216,1827JT,51,56,woonfunctie,Verblijfsobject in gebruik,0361100000123674
0361010000001279,1826JA,19,114,woonfunctie,Verblijfsobject in gebruik,0361100000037635
0361010000003696,1825PX,9,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000002783,1816BP,71,134,woonfunctie,Verblijfsobject in gebruik,0361100000102437
0361010000004765,1824EV,86,137,woonfunctie,Verblijfsobject in gebruik,0361100000025437
0361010000003180,1831BN,13,133,woonfunctie,Verblijfsobject in gebruik,0361100000047599
0361010000001796,1813ZE,132,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000004217,1827JV,52,108,woonfunctie,Verblijfsobject in gebruik,0361100000046742
0361010000001280,1826JC,20,139,woonfunctie,Verblijfsobject in gebruik,0361100000037603
0361010000002784,1817BK,72,175,woonfunctie,Verblijfsobject in gebruik,0361100000024080
0361010000005217,1815GD,7,143,woonfunctie,Verblijfsobject in gebruik,0361100000016508
0361010000003181,1831BN,14,134,woonfunctie,Verblijfsobject in gebruik,0361100000047548
