identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000000253,1829EG,26,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101067
0361010000000254,1829EG,27,145,woonfunctie,Verblijfsobject in gebruik,0361100000021320
0361010000000256,1829EG,28,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101068
0361010000000259,1829EG,30,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101069
0361010000000262,1829EG,32,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101070
0361010000000265,1829EG,34,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101071
0361010000000266,1829EG,35,145,woonfunctie,Verblijfsobject in gebruik,0361100000021314
0361010000000267,1829EG,36,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101072
0361010000000268,1829EG,37,145,woonfunctie,Verblijfsobject in gebruik,0361100000021313
0361010000000269,1829EG,38,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101073
0361010000000270,1829EG,39,145,woonfunctie,Verblijfsobject in gebruik,0361100000021312
0361010000000271,1829EG,41,145,woonfunctie,Verblijfsobject in gebruik,0361100000100986
0361010000000272,1829EG,42,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101074
0361010000000273,1829EG,44,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101075
0361010000000274,1829EG,46,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101076
0361010000000275,1829EG,48,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101077
0361010000000276,1829EG,50,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101078
0361010000000277,1829EG,52,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101079
0361010000000278,1829EG,54,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101080
0361010000000279,1829EG,56,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101081
0361010000000280,1829EG,58,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101082
0361010000000281,1829EG,60,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101083
0361010000000282,1829EG,62,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101084
0361010000000283,1829EG,64,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101085
0361010000000284,1829EG,66,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101086
0361010000000285,1829EG,68,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101087
0361010000000286,1829EG,70,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101088
0361010000000287,1829EG,72,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101089
0361010000000288,1829EG,74,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101090
0361010000000289,1829EG,76,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000101091
0361010000000290,1823HB,1,139,gezondheidszorgfunctie,Verblijfsobject in gebruik,0361100000018917
0361010000000291,1811JZ,1,1725,kantoorfunctie,Verblijfsobject in gebruik,0361100000105554
0361010000000292,1811MD,1,138,"overige gebruiksfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000106852
0361010000000293,1811MD,2,107,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105052
0361010000000294,1811MD,2,30,kantoorfunctie,Verblijfsobject in gebruik,0361100000105054
0361010000000295,1811MD,3,115,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106852
0361010000000296,1811MD,4,96,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105051
0361010000000297,1811MD,6,87,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105050
0361010000000299,1811MD,8,116,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105049
0361010000000300,1811MD,9,64,woonfunctie,Verblijfsobject in gebruik,0361100000106854
0361010000000301,1811MD,10,160,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105048
0361010000000302,1811MD,11,60,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106855
0361010000000303,1811MD,12,159,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105047
0361010000000304,1811MD,13,80,woonfunctie,Verblijfsobject in gebruik,0361100000106856
0361010000000305,1811MD,14,79,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105045
0361010000000306,1811MD,15,56,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106856
0361010000000307,1811MD,16,77,woonfunctie,Verblijfsobject in gebruik,0361100000105045
0361010000000308,1811MD,17,60,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106857
0361010000000309,1811MD,18,111,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105043
0361010000000310,1811MD,18,111,woonfunctie,Verblijfsobject in gebruik,0361100000105043
0361010000000311,1811MD,19,51,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106858
0361010000000314,1811MD,23,54,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106859
0361010000000316,1811MD,27,21,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106860
0361010000000317,1811MD,28,50,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000105038
0361010000000318,1811MD,29,78,winkelfunctie,Verblijfsobject in gebruik,0361100000106861
0361010000000320,1811MD,31,28,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106862
0361010000000321,1811MD,33,39,"overige gebruiksfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000106863
0361010000000322,1811MD,35,51,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106864
0361010000000323,1811MD,37,29,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106865
0361010000000324,1811MD,39,28,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106866
0361010000000325,1811MD,41,132,woonfunctie,Verblijfsobject in gebruik,0361100000106867
0361010000000326,1822DC,2,167,woonfunctie,Verblijfsobject in gebruik,0361100000035190
0361010000000327,1822DC,3,165,woonfunctie,Verblijfsobject in gebruik,0361100000035410
0361010000000328,1822DC,3,163,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000035410
0361010000000331,1811LH,1,49,woonfunctie,Verblijfsobject in gebruik,0361100000105684
0361010000000332,1811LJ,2,44,winkelfunctie,Verblijfsobject in gebruik,0361100000105676
0361010000000333,1811LH,3,50,woonfunctie,Verblijfsobject in gebruik,0361100000105685
0361010000000794,1825NW,72,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000334,1811LH,3,58,"winkelfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000105687
0361010000000795,1825NR,73,76,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000335,1811LH,3,41,woonfunctie,Verblijfsobject in gebruik,0361100000105688
0361010000000796,1825NW,74,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000337,1811LJ,4,57,woonfunctie,Verblijfsobject in gebruik,0361100000105675
0361010000000797,1825NR,75,68,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000798,1825NW,76,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000338,1811LJ,6,78,woonfunctie,Verblijfsobject in gebruik,0361100000105674
0361010000000339,1811LJ,8,55,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105673
0361010000000799,1825NR,77,44,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000340,1811LJ,10,54,woonfunctie,Verblijfsobject in gebruik,0361100000105673
0361010000000800,1825NW,78,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000341,1811LJ,12,66,woonfunctie,Verblijfsobject in gebruik,0361100000105672
0361010000000801,1825NR,79,90,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000342,1811LH,13,65,woonfunctie,Verblijfsobject in gebruik,0361100000105694
0361010000000343,1811LJ,14,72,woonfunctie,Verblijfsobject in gebruik,0361100000105671
0361010000000802,1825NW,80,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000344,1811LH,15,60,winkelfunctie,Verblijfsobject in gebruik,0361100000105695
0361010000000803,1825NR,81,76,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000345,1811LH,17,30,winkelfunctie,Verblijfsobject in gebruik,0361100000105697
0361010000000804,1825NW,82,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000348,1811LJ,18,89,woonfunctie,Verblijfsobject in gebruik,0361100000105726
0361010000000805,1825NR,83,68,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000349,1811LJ,18,99,woonfunctie,Verblijfsobject in gebruik,0361100000105726
0361010000000806,1825NW,84,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000350,1811LH,19,132,winkelfunctie,Verblijfsobject in gebruik,0361100000105698
0361010000000807,1825NR,85,44,woonfunctie,Verblijfsobject in gebruik,0361100000121385
0361010000000351,1811LH,19,88,woonfunctie,Verblijfsobject in gebruik,0361100000105427
0361010000000808,1825NW,86,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000352,1811LJ,20,97,"industriefunctie,winkelfunctie",Verblijfsobject in gebruik,0361100000105726
0361010000000809,1825NR,87,147,woonfunctie,Verblijfsobject in gebruik,0361100000121384
0361010000000810,1825NW,88,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000811,1825NR,89,118,woonfunctie,Verblijfsobject in gebruik,0361100000121383
0361010000000812,1825NX,90,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000813,1825NR,91,90,woonfunctie,Verblijfsobject in gebruik,0361100000107124
0361010000000814,1825NX,92,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000815,1825NR,93,90,woonfunctie,Verblijfsobject in gebruik,0361100000107123
0361010000000816,1825NX,94,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000817,1825NR,95,90,woonfunctie,Verblijfsobject in gebruik,0361100000107121
0361010000000357,1811LH,25,60,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000818,1825NX,96,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000819,1825NR,97,90,woonfunctie,Verblijfsobject in gebruik,0361100000107120
0361010000000820,1825NX,98,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000358,1811LH,27,89,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000821,1825NR,99,67,woonfunctie,Verblijfsobject in gebruik,0361100000107119
0361010000000359,1811LH,29,80,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000360,1811LJ,30,183,winkelfunctie,Verblijfsobject in gebruik,0361100000105728
0361010000000822,1825NX,100,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000823,1825NR,101,67,woonfunctie,Verblijfsobject in gebruik,0361100000107118
0361010000000361,1811LH,31,58,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000824,1825NX,102,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000825,1825NR,103,67,woonfunctie,Verblijfsobject in gebruik,0361100000107116
0361010000000826,1825NX,104,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000363,1811LH,33,78,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000827,1825NR,105,67,woonfunctie,Verblijfsobject in gebruik,0361100000107115
0361010000000828,1825NX,106,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000364,1811LJ,34,65,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000829,1825NR,107,90,woonfunctie,Verblijfsobject in gebruik,0361100000107114
0361010000000830,1825NX,108,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000365,1811LJ,34,60,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000831,1825NR,109,90,woonfunctie,Verblijfsobject in gebruik,0361100000107113
0361010000000366,1811LJ,34,60,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000832,1825NX,110,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000833,1825NR,111,90,woonfunctie,Verblijfsobject in gebruik,0361100000107112
0361010000000834,1825NX,112,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000367,1811LH,35,70,woonfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000835,1825NR,113,90,woonfunctie,Verblijfsobject in gebruik,0361100000107111
0361010000000368,1811LJ,36,240,winkelfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000836,1825NX,114,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000837,1825NR,115,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000838,1825NX,116,63,woonfunctie,Verblijfsobject in gebruik,0361100000107050
0361010000000370,1811LJ,38,65,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000839,1825NR,117,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000840,1825NR,119,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000371,1811LJ,38,60,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000841,1825NS,121,74,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000372,1811LJ,38,60,woonfunctie,Verblijfsobject in gebruik,0361100000105729
0361010000000842,1825NS,123,76,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000843,1825NS,125,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000844,1825NS,127,40,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000845,1825NS,129,74,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000374,1811LJ,40,87,winkelfunctie,Verblijfsobject in gebruik,0361100000105730
0361010000000846,1825NS,131,76,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000847,1825NS,133,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000375,1811LH,41,165,winkelfunctie,Verblijfsobject in gebruik,0361100000105429
0361010000000376,1811LJ,44,75,winkelfunctie,Verblijfsobject in gebruik,0361100000105708
0361010000000848,1825NS,135,40,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000377,1811LH,43,105,winkelfunctie,Verblijfsobject in gebruik,0361100000105430
0361010000000849,1825NS,137,74,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000379,1811LJ,48,36,winkelfunctie,Verblijfsobject in gebruik,0361100000105708
0361010000000381,1811LJ,50,110,winkelfunctie,Verblijfsobject in gebruik,0361100000105707
0361010000000850,1825NS,139,74,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000382,1811LJ,52,45,winkelfunctie,Verblijfsobject in gebruik,0361100000105445
0361010000000851,1825NS,141,68,woonfunctie,Verblijfsobject in gebruik,0361100000107117
0361010000000384,1811LJ,54,57,winkelfunctie,Verblijfsobject in gebruik,0361100000105445
0361010000000385,1811LJ,54,62,woonfunctie,Verblijfsobject in gebruik,0361100000105445
0361010000000386,1811LJ,54,62,woonfunctie,Verblijfsobject in gebruik,0361100000105445
0361010000000387,1811LJ,56,137,winkelfunctie,Verblijfsobject in gebruik,0361100000105445
0361010000000855,1823EV,1,1840,bijeenkomstfunctie,Verblijfsobject in gebruik,0361100000015372
0361010000000388,1811LJ,58,73,bijeenkomstfunctie,Verblijfsobject in gebruik,0361100000105477
0361010000000856,1823EV,2,126,woonfunctie,Verblijfsobject in gebruik,0361100000101340
0361010000000389,1811LJ,58,99,logiesfunctie,Verblijfsobject in gebruik,0361100000105476
0361010000000390,1811LJ,58,57,woonfunctie,Verblijfsobject in gebruik,0361100000105476
0361010000000858,1823EV,4,119,woonfunctie,Verblijfsobject in gebruik,0361100000016685
0361010000000392,1811LJ,62,62,woonfunctie,Verblijfsobject in gebruik,0361100000014437
0361010000000393,1811LJ,62,66,winkelfunctie,Verblijfsobject in gebruik,0361100000014437
0361010000000860,1823EV,6,140,woonfunctie,Verblijfsobject in gebruik,0361100000016684
0361010000000394,1811LJ,62,11,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000014437
0361010000000395,1822AM,13,66,woonfunctie,Verblijfsobject in gebruik,0361100000200380
0361010000000396,1822AM,1,462,woonfunctie,Verblijfsobject in gebruik,0361100000029822
0361010000000862,1823EV,8,116,woonfunctie,Verblijfsobject in gebruik,0361100000016422
0361010000000864,1823EV,10,116,woonfunctie,Verblijfsobject in gebruik,0361100000016419
0361010000000865,1823EV,12,116,woonfunctie,Verblijfsobject in gebruik,0361100000016417
0361010000000401,1822AM,17,205,woonfunctie,Verbouwing verblijfsobject,0361100000031775
0361010000000411,1822AM,19,145,woonfunctie,Verblijfsobject in gebruik,0361100000031850
0361010000000866,1823EV,14,120,woonfunctie,Verblijfsobject in gebruik,0361100000015547
0361010000000429,1811DS,3,22,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000104244
0361010000000867,1823EV,16,124,woonfunctie,Verblijfsobject in gebruik,0361100000015546
0361010000000431,1827RA,1,84,woonfunctie,Verblijfsobject in gebruik,0361100000045706
0361010000000868,1823EV,18,145,woonfunctie,Verblijfsobject in gebruik,0361100000015543
0361010000000432,1827RB,2,84,woonfunctie,Verblijfsobject in gebruik,0361100000045487
0361010000000869,1823EV,20,160,woonfunctie,Verblijfsobject in gebruik,0361100000015542
0361010000000433,1827RA,3,84,woonfunctie,Verblijfsobject in gebruik,0361100000045707
0361010000000870,1823EV,22,121,woonfunctie,Verblijfsobject in gebruik,0361100000015540
0361010000000434,1827RB,4,84,woonfunctie,Verblijfsobject in gebruik,0361100000103680
0361010000000871,1823EV,24,137,woonfunctie,Verblijfsobject in gebruik,0361100000015539
0361010000000435,1827RA,5,84,woonfunctie,Verblijfsobject in gebruik,0361100000045711
0361010000000436,1827RB,6,84,woonfunctie,Verblijfsobject in gebruik,0361100000103681
0361010000000873,1823EV,28,132,woonfunctie,Verblijfsobject in gebruik,0361100000101342
0361010000000437,1827RA,7,84,woonfunctie,Verblijfsobject in gebruik,0361100000045713
0361010000000874,1823EV,30,121,woonfunctie,Verblijfsobject in gebruik,0361100000015158
0361010000000438,1827RB,8,84,woonfunctie,Verblijfsobject in gebruik,0361100000045489
0361010000000439,1827RA,9,84,woonfunctie,Verblijfsobject in gebruik,0361100000045714
0361010000000875,1823EV,32,119,woonfunctie,Verblijfsobject in gebruik,0361100000014901
0361010000000440,1827RB,10,84,woonfunctie,Verblijfsobject in gebruik,0361100000103682
0361010000000441,1827RA,11,84,woonfunctie,Verblijfsobject in gebruik,0361100000045717
0361010000001297,1826JA,37,116,woonfunctie,Verblijfsobject in gebruik,0361100000037426
0361010000000442,1827RB,12,84,woonfunctie,Verblijfsobject in gebruik,0361100000045494
0361010000001298,1826JD,38,119,woonfunctie,Verblijfsobject in gebruik,0361100000038021
0361010000000443,1827RA,13,84,woonfunctie,Verblijfsobject in gebruik,0361100000045720
0361010000001299,1826JA,39,75,woonfunctie,Verblijfsobject in gebruik,0361100000037425
0361010000000878,1827CT,1,94,woonfunctie,Verblijfsobject in gebruik,0361100000040615
0361010000000444,1827RB,14,84,woonfunctie,Verblijfsobject in gebruik,0361100000045496
0361010000001300,1826JD,40,46,woonfunctie,Verblijfsobject in gebruik,0361100000038023
0361010000000879,1827CV,2,114,woonfunctie,Verblijfsobject in gebruik,0361100000040862
0361010000000880,1827CT,3,94,woonfunctie,Verblijfsobject in gebruik,0361100000040613
0361010000000445,1827RA,15,84,woonfunctie,Verblijfsobject in gebruik,0361100000045722
0361010000001301,1826JD,40,39,woonfunctie,Verblijfsobject in gebruik,0361100000038023
0361010000000446,1827RB,16,84,woonfunctie,Verblijfsobject in gebruik,0361100000045498
0361010000000881,1827CV,4,114,woonfunctie,Verblijfsobject in gebruik,0361100000040859
0361010000001302,1826JD,40,37,woonfunctie,Verblijfsobject in gebruik,0361100000038023
0361010000000882,1827CT,5,94,woonfunctie,Verblijfsobject in gebruik,0361100000040612
0361010000000447,1827RA,17,84,woonfunctie,Verblijfsobject in gebruik,0361100000045725
0361010000001303,1826JA,41,75,woonfunctie,Verblijfsobject in gebruik,0361100000037425
0361010000000883,1827CV,6,114,woonfunctie,Verblijfsobject in gebruik,0361100000040855
0361010000000448,1827RB,18,84,woonfunctie,Verblijfsobject in gebruik,0361100000103683
0361010000000884,1827CT,7,94,woonfunctie,Verblijfsobject in gebruik,0361100000103411
0361010000000449,1827RA,19,96,woonfunctie,Verblijfsobject in gebruik,0361100000103679
0361010000000885,1827CV,8,114,woonfunctie,Verblijfsobject in gebruik,0361100000040853
0361010000000450,1827RB,20,96,woonfunctie,Verblijfsobject in gebruik,0361100000045672
0361010000000886,1827CT,9,94,woonfunctie,Verblijfsobject in gebruik,0361100000040609
0361010000000451,1827RA,21,96,woonfunctie,Verblijfsobject in gebruik,0361100000045943
0361010000001307,1826JA,43,75,woonfunctie,Verblijfsobject in gebruik,0361100000037425
0361010000000887,1827CV,10,114,woonfunctie,Verblijfsobject in gebruik,0361100000040850
0361010000000452,1827RB,22,96,woonfunctie,Verblijfsobject in gebruik,0361100000045674
0361010000001921,1811KA,30,45,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000001308,1826JD,44,110,woonfunctie,Verblijfsobject in gebruik,0361100000038131
0361010000000888,1827CT,11,94,woonfunctie,Verblijfsobject in gebruik,0361100000040606
0361010000000453,1827RA,23,96,woonfunctie,Verblijfsobject in gebruik,0361100000045944
0361010000001309,1826JA,45,73,woonfunctie,Verblijfsobject in gebruik,0361100000037425
0361010000000889,1827CV,12,114,woonfunctie,Verblijfsobject in gebruik,0361100000103413
0361010000001922,1811KA,32,48,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000454,1827RB,24,96,woonfunctie,Verblijfsobject in gebruik,0361100000045676
0361010000000890,1827CT,13,94,woonfunctie,Verblijfsobject in gebruik,0361100000040602
0361010000001923,1811KA,34,45,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000891,1827CV,14,114,woonfunctie,Verblijfsobject in gebruik,0361100000040844
0361010000000892,1827CT,15,97,woonfunctie,Verblijfsobject in gebruik,0361100000040600
0361010000001924,1811KA,36,45,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000893,1827CV,16,114,woonfunctie,Verblijfsobject in gebruik,0361100000040843
0361010000000455,1827RA,25,96,woonfunctie,Verblijfsobject in gebruik,0361100000045946
0361010000001925,1811KA,38,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000894,1827CT,17,94,woonfunctie,Verblijfsobject in gebruik,0361100000040596
0361010000001926,1811KA,40,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000456,1827RB,26,96,woonfunctie,Verblijfsobject in gebruik,0361100000045678
0361010000000895,1827CV,18,151,woonfunctie,Verblijfsobject in gebruik,0361100000040458
0361010000001927,1811KA,42,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000457,1827RA,27,96,woonfunctie,Verblijfsobject in gebruik,0361100000045951
0361010000000896,1827CT,19,94,woonfunctie,Verblijfsobject in gebruik,0361100000040595
0361010000001928,1811KA,44,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000458,1827RB,28,96,woonfunctie,Verblijfsobject in gebruik,0361100000045681
0361010000000897,1827CV,20,143,woonfunctie,Verblijfsobject in gebruik,0361100000040457
0361010000001312,1826JD,50,110,woonfunctie,Verblijfsobject in gebruik,0361100000038136
0361010000001929,1811KA,46,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000459,1827RA,29,96,woonfunctie,Verblijfsobject in gebruik,0361100000045954
0361010000000898,1827CT,21,94,woonfunctie,Verblijfsobject in gebruik,0361100000040592
0361010000001313,1826JD,52,110,woonfunctie,Verblijfsobject in gebruik,0361100000038137
0361010000001930,1811KA,48,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000460,1827RB,30,96,woonfunctie,Verblijfsobject in gebruik,0361100000045686
0361010000000899,1827CV,22,148,woonfunctie,Verblijfsobject in gebruik,0361100000040354
0361010000001931,1811KA,50,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000001314,1826JD,54,110,woonfunctie,Verblijfsobject in gebruik,0361100000038138
0361010000000461,1827RA,31,96,woonfunctie,Verblijfsobject in gebruik,0361100000045957
0361010000000900,1827CT,23,94,woonfunctie,Verblijfsobject in gebruik,0361100000040589
0361010000001932,1811KA,52,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000001315,1826JD,56,128,woonfunctie,Verblijfsobject in gebruik,0361100000038139
0361010000000462,1827RB,32,96,woonfunctie,Verblijfsobject in gebruik,0361100000045690
0361010000000901,1827CV,24,143,woonfunctie,Verblijfsobject in gebruik,0361100000040353
0361010000001933,1811KA,54,100,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000000463,1827RA,33,96,woonfunctie,Verblijfsobject in gebruik,0361100000045959
0361010000000902,1827CT,25,94,woonfunctie,Verblijfsobject in gebruik,0361100000040584
0361010000001934,1811KA,56,62,woonfunctie,Verblijfsobject in gebruik,0361100000015582
0361010000001316,1826JD,58,127,woonfunctie,Verblijfsobject in gebruik,0361100000038140
0361010000000464,1827RB,34,96,woonfunctie,Verblijfsobject in gebruik,0361100000045695
0361010000001317,1826JD,60,127,woonfunctie,Verblijfsobject in gebruik,0361100000038141
0361010000000465,1827RA,35,96,woonfunctie,Verblijfsobject in gebruik,0361100000045962
0361010000001936,1825CR,2,144,woonfunctie,Verblijfsobject in gebruik,0361100000033901
0361010000000903,1827CV,26,160,woonfunctie,Verblijfsobject in gebruik,0361100000040299
0361010000001318,1826JB,61,99,woonfunctie,Verblijfsobject in gebruik,0361100000038600
0361010000000466,1827RB,36,96,woonfunctie,Verblijfsobject in gebruik,0361100000045696
0361010000000904,1827CT,27,94,woonfunctie,Verblijfsobject in gebruik,0361100000040582
0361010000001319,1826JE,62,138,woonfunctie,Verblijfsobject in gebruik,0361100000038472
0361010000000467,1827RA,37,96,woonfunctie,Verblijfsobject in gebruik,0361100000045964
0361010000001938,1825CR,4,86,woonfunctie,Verblijfsobject in gebruik,0361100000033899
0361010000000905,1827CV,28,152,woonfunctie,Verblijfsobject in gebruik,0361100000040298
0361010000001320,1826JB,63,102,woonfunctie,Verblijfsobject in gebruik,0361100000038599
0361010000000468,1827RB,38,96,woonfunctie,Verblijfsobject in gebruik,0361100000045700
0361010000000906,1827CT,29,94,woonfunctie,Verblijfsobject in gebruik,0361100000040580
0361010000001321,1826JE,64,115,woonfunctie,Verblijfsobject in gebruik,0361100000038473
0361010000000469,1827RA,39,96,woonfunctie,Verblijfsobject in gebruik,0361100000045966
0361010000000907,1827CV,30,150,woonfunctie,Verblijfsobject in gebruik,0361100000040222
0361010000001322,1826JB,65,115,woonfunctie,Verblijfsobject in gebruik,0361100000038598
0361010000001940,1825CR,6,133,woonfunctie,Verblijfsobject in gebruik,0361100000033898
0361010000000470,1827RB,40,96,woonfunctie,Verblijfsobject in gebruik,0361100000045703
0361010000000908,1827CT,31,94,woonfunctie,Verblijfsobject in gebruik,0361100000040576
0361010000001323,1826JE,66,115,woonfunctie,Verblijfsobject in gebruik,0361100000038477
0361010000000471,1827RA,41,136,woonfunctie,Verblijfsobject in gebruik,0361100000046546
0361010000000909,1827CV,32,150,woonfunctie,Verblijfsobject in gebruik,0361100000040221
0361010000000472,1827RC,42,125,woonfunctie,Verblijfsobject in gebruik,0361100000046271
0361010000001325,1826JE,68,115,woonfunctie,Verblijfsobject in gebruik,0361100000038478
0361010000000473,1827RA,43,111,woonfunctie,Verblijfsobject in gebruik,0361100000046552
