postcode,p6_kwh_2023,p6_kwh_productie_2023,p6_gasm3_2023,p6_gas_aansluitingen_2023,p6_grondbeslag_m2,pc6_gemiddelde_woz_waarde_woning,pc6_eigendomssituatie_perc_koop,pc6_eigendomssituatie_perc_huur,pc6_eigendomssituatie_aantal_woningen_corporaties,buurtcode,wijkcode,gemeentecode,oppervlakte,woningequivalent,gas_ean_count,heat_demand_label_based,residential_share,address_count,p6_gasm3_2023_raw,climate_normalized,gas_input_kwh_annual,heat_gas_delivered,heat_nongas_estimated,heat_gross_annual,current_electrification_share,weight_res,weight_nonres,weight_E1,weight_E2,weight_G1,weight_G2
1483BB,3114.0,0.0,1897.4999999999998,28,1734,310,80,0,0,BU03611003,WK036110,GM0361,1857.0,19,16,626620.0,0.7619047619047619,21,1650.0,True,7230.044249999999,6651.64071,10403.848289999998,17055.488999999998,0.61,0.7619047619047619,0.23809523809523814,0.7619047619047619,0.23809523809523814,0.7619047619047619,0.23809523809523814
1483BC,3294.0,0.0,1779.05,26,1922,366,70,0,0,BU03611003,WK036110,GM0361,1667.0,15,15,669980.0,1.0,15,1547.0,True,6778.714214999998,6236.417077799999,9754.395942199999,15990.813019999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BD,4746.0,371.0,1788.2499999999998,40,2224,431,80,0,0,BU03611003,WK036110,GM0361,3034.0,24,21,1143295.0,0.9166666666666666,24,1555.0,True,6813.768974999999,6268.667457,9804.838842999998,16073.506299999997,0.61,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337
1483BE,9319.0,498.0,3027.95,37,4038,549,80,0,0,BU03611003,WK036110,GM0361,4624.0,27,22,1750020.0,0.9166666666666666,24,2633.0,True,11537.397885,10614.4060542,16602.019725799997,27216.425779999998,0.61,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.08333333333333337
1483BG,3185.0,164.0,1876.8,32,3037,445,70,30,0,BU03611003,WK036110,GM0361,3421.0,21,18,1215732.5,0.95,20,1632.0,True,7151.17104,6579.0773568,10290.3517632,16869.42912,0.61,0.95,0.050000000000000044,0.95,0.050000000000000044,0.95,0.050000000000000044
1483BH,2757.0,840.0,2245.95,31,5208,506,90,0,0,BU03611003,WK036110,GM0361,3430.0,21,18,1246130.0,0.8947368421052632,19,1953.0,True,8557.743285,7873.123822200001,12314.373157799999,20187.49698,0.61,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.10526315789473684
1483BJ,7963.0,107.0,3195.85,39,7862,0,0,0,0,BU03611003,WK036110,GM0361,561.0,5,3,230010.0,0.6666666666666666,3,2779.0,True,12177.147255,11202.9754746,17522.602665399998,28725.578139999998,0.61,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337
1483BK,7963.0,107.0,3195.85,39,7862,0,0,0,0,BU03611003,WK036110,GM0361,2109.0,15,8,833750.0,0.5555555555555556,9,2779.0,True,12177.147255,11202.9754746,17522.602665399998,28725.578139999998,0.61,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444
1483BL,7963.0,107.0,3195.85,39,7862,367,0,0,0,BU03611003,WK036110,GM0361,1882.0,14,12,722525.0,0.6428571428571429,14,2779.0,True,12177.147255,11202.9754746,17522.602665399998,28725.578139999998,0.61,0.6428571428571429,0.3571428571428571,0.6428571428571429,0.3571428571428571,0.6428571428571429,0.3571428571428571
1483BM,4026.0,91.0,1708.8999999999999,27,1829,547,100,0,0,BU03611003,WK036110,GM0361,2476.0,15,13,744165.0,0.9333333333333333,15,1486.0,True,6511.421669999999,5990.507936399999,9369.7688236,15360.276759999999,0.61,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665
