postcode,p6_kwh_2023,p6_kwh_productie_2023,p6_gasm3_2023,p6_gas_aansluitingen_2023,p6_grondbeslag_m2,pc6_gemiddelde_woz_waarde_woning,pc6_eigendomssituatie_perc_koop,pc6_eigendomssituatie_perc_huur,pc6_eigendomssituatie_aantal_woningen_corporaties,buurtcode,wijkcode,gemeentecode,oppervlakte,woningequivalent,gas_ean_count,heat_demand_label_based,residential_share,address_count,p6_gasm3_2023_raw,climate_normalized,gas_input_kwh_annual,heat_gas_delivered,heat_nongas_estimated,heat_gross_annual,current_electrification_share,weight_res,weight_nonres,weight_E1,weight_E2,weight_G1,weight_G2
1813CJ,1559.0,0.0,685.4,31,322,183,50,50,0,BU03610301,WK036103,GM0361,1000.0,16,16,290552.5,1.0,16,596.0,True,2611.5796199999995,2402.6532503999997,3757.9961095999997,6160.649359999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CK,1220.0,0.0,670.4499999999999,31,322,180,60,40,0,BU03610301,WK036103,GM0361,1000.0,16,16,324145.0,1.0,16,583.0,True,2554.6156349999997,2350.2463841999997,3676.0263957999996,6026.272779999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CL,3038.0,0.0,1098.25,59,2216,224,0,0,0,BU03610301,WK036103,GM0361,710.0,7,7,94075.0,1.0,7,955.0,True,4184.661975,3849.8890170000004,6021.6212829999995,9871.5103,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CM,2552.0,546.0,1098.25,59,2216,241,100,0,0,BU03610301,WK036103,GM0361,2084.0,22,22,799525.0,1.0,22,955.0,True,4184.661975,3849.8890170000004,6021.6212829999995,9871.5103,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CN,2510.0,187.0,1168.3999999999999,41,2190,245,100,0,0,BU03610301,WK036103,GM0361,2269.0,24,23,842352.5,1.0,24,1016.0,True,4451.954519999999,4095.7981584,6406.248401599999,10502.046559999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CP,1407.0,0.0,922.3,27,868,180,70,0,0,BU03610301,WK036103,GM0361,885.0,15,15,315207.5,1.0,15,802.0,True,3514.2396899999994,3233.1005147999995,5056.9008052,8290.00132,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CR,1270.0,0.0,831.4499999999999,42,484,181,70,30,0,BU03610301,WK036103,GM0361,1500.0,24,24,502267.5,1.0,24,723.0,True,3168.0739349999994,2914.6280202,4558.777159799999,7473.405179999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813CS,3797.0,0.0,715.3,26,432,176,80,0,0,BU03610301,WK036103,GM0361,901.0,15,15,299567.5,0.9375,16,622.0,True,2725.50759,2507.4669828,3921.9355371999995,6429.40252,0.61,0.9375,0.0625,0.9375,0.0625,0.9375,0.0625
1813CT,1676.0,211.0,813.05,33,1079,189,90,0,0,BU03610301,WK036103,GM0361,1309.0,19,19,463087.5,0.8260869565217391,23,707.0,True,3097.964414999999,2850.1272617999994,4457.8913582,7308.018619999999,0.61,0.8260869565217391,0.17391304347826086,0.8260869565217391,0.17391304347826086,0.8260869565217391,0.17391304347826086
1813CV,1140.0,0.0,894.6999999999999,33,1016,185,70,30,0,BU03610301,WK036103,GM0361,1215.0,18,18,428667.5,0.8181818181818182,22,778.0,True,3409.07541,3136.3493772,4905.5721028,8041.92148,0.61,0.8181818181818182,0.18181818181818177,0.8181818181818182,0.18181818181818177,0.8181818181818182,0.18181818181818177
1813CW,2417.0,0.0,949.9,44,1282,197,90,0,0,BU03610301,WK036103,GM0361,1744.0,23,23,621770.0,0.7419354838709677,31,826.0,True,3619.4039699999994,3329.8516523999997,5208.2295076,8538.08116,0.61,0.7419354838709677,0.25806451612903225,0.7419354838709677,0.25806451612903225,0.7419354838709677,0.25806451612903225
1813CX,3157.0,0.0,0.0,0,0,295,50,50,60,BU03610301,WK036103,GM0361,13527.0,151,0,1828040.0,0.9933774834437086,151,0.0,True,0.0,0.0,1828040.0,1828040.0,1.0,0.9933774834437086,0.0066225165562914245,0.9933774834437086,0.0066225165562914245,0.9933774834437086,0.0066225165562914245
1813DA,2455.0,164.0,1247.75,35,1038,231,40,60,10,BU03610302,WK036103,GM0361,2129.0,20,20,717725.0,1.0,20,1085.0,True,4754.301825,4373.957679,6841.318421000001,11215.276100000001,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DB,2327.0,259.0,1657.1499999999999,28,7592,183,0,0,0,BU03610302,WK036103,GM0361,1234.0,16,16,456800.0,1.0,16,1441.0,True,6314.238644999999,5809.099553399999,9086.0275066,14895.127059999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DC,2039.0,0.0,883.1999999999999,31,7592,184,0,0,0,BU03610302,WK036103,GM0361,1248.0,16,16,236340.0,1.0,16,768.0,True,3365.2569599999997,3096.0364031999998,4842.5184768,7938.55488,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DD,1648.0,0.0,1036.1499999999999,28,7592,183,0,0,0,BU03610302,WK036103,GM0361,1234.0,16,16,229360.0,1.0,16,901.0,True,3948.042344999999,3632.198957399999,5681.131702599999,9313.330659999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DE,2129.0,0.0,895.8499999999999,28,7592,183,0,0,0,BU03610302,WK036103,GM0361,1312.0,17,17,246520.0,1.0,17,779.0,True,3413.457254999999,3140.380674599999,4911.877465399999,8052.258139999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DG,1595.0,0.0,854.4499999999999,28,7592,183,0,0,0,BU03610302,WK036103,GM0361,1156.0,15,15,212200.0,1.0,15,743.0,True,3255.7108349999994,2995.2539681999997,4684.8844118,7680.138379999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DH,1961.0,0.0,803.8499999999999,29,7592,183,0,0,0,BU03610302,WK036103,GM0361,1234.0,16,16,233260.0,1.0,16,699.0,True,3062.9096549999995,2817.8768825999996,4407.4484574,7225.325339999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DJ,2884.0,366.0,1294.8999999999999,29,7592,183,0,0,0,BU03610302,WK036103,GM0361,1273.0,16,16,470690.0,0.8888888888888888,18,1126.0,True,4933.957469999999,4539.2408724,7099.8382876,11639.07916,0.61,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.11111111111111116
1813DK,1716.0,0.0,0.0,0,0,155,0,0,0,BU03610302,WK036103,GM0361,1345.0,18,0,329647.5,0.9473684210526315,19,0.0,True,0.0,0.0,329647.5,329647.5,1.0,0.9473684210526315,0.052631578947368474,0.9473684210526315,0.052631578947368474,0.9473684210526315,0.052631578947368474
1813DL,1662.0,0.0,0.0,0,0,147,0,0,0,BU03610302,WK036103,GM0361,1382.0,20,0,332915.0,1.0,20,0.0,True,0.0,0.0,332915.0,332915.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1813DM,1181.0,0.0,0.0,0,0,0,0,0,0,BU03610302,WK036103,GM0361,1114.0,16,0,268447.5,0.9411764705882353,17,0.0,True,0.0,0.0,268447.5,268447.5,1.0,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472
1813DN,1727.0,0.0,47.15,36,5118,185,0,0,0,BU03610302,WK036103,GM0361,1886.0,24,24,344090.0,1.0,24,41.0,True,179.65564500000002,165.28319340000002,258.51986659999994,423.80305999999996,0.6099999999999999,1.0,0.0,1.0,0.0,1.0,0.0
1813DP,1497.0,0.0,67.85,43,5118,184,0,0,0,BU03610302,WK036103,GM0361,1872.0,24,24,348660.0,1.0,24,59.0,True,258.52885499999996,237.84654659999995,372.0163933999999,609.8629399999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DR,1617.0,0.0,44.849999999999994,29,5118,184,0,0,0,BU03610302,WK036103,GM0361,1248.0,16,16,232440.0,1.0,16,39.0,True,170.89195499999994,157.22059859999996,245.90914139999995,403.1297399999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DS,1981.0,0.0,97.74999999999999,28,5118,184,0,0,0,BU03610302,WK036103,GM0361,1248.0,16,16,228930.0,1.0,16,85.0,True,372.4568249999999,342.66027899999995,535.9558209999999,878.6160999999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DT,3377.0,0.0,1147.6999999999998,41,2977,173,0,100,0,BU03610302,WK036103,GM0361,2076.0,30,24,467570.0,1.0,30,998.0,True,4373.08131,4023.2348051999998,6292.7518748,10315.98668,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DV,1843.0,0.0,971.7499999999999,45,2977,182,0,0,0,BU03610302,WK036103,GM0361,1848.0,24,24,406560.0,1.0,24,845.0,True,3702.6590249999986,3406.446302999999,5328.031396999999,8734.477699999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DW,1854.0,0.0,1001.65,28,2977,182,0,0,0,BU03610302,WK036103,GM0361,1232.0,16,16,271040.0,1.0,16,871.0,True,3816.5869949999997,3511.2600353999997,5491.9708246,9003.23086,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813DX,2152.0,0.0,910.8,28,2977,182,0,0,0,BU03610302,WK036103,GM0361,1765.0,16,16,460255.0,0.48484848484848486,33,792.0,True,3470.4212399999997,3192.7875408,4993.8471792,8186.63472,0.61,0.48484848484848486,0.5151515151515151,0.48484848484848486,0.5151515151515151,0.48484848484848486,0.5151515151515151
1813EA,2151.0,519.0,1313.3,21,574,242,0,80,10,BU03610302,WK036103,GM0361,1238.0,12,12,315310.0,1.0,12,1142.0,True,5004.06699,4603.7416308,7200.7240892,11804.46572,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813EB,1749.0,0.0,1124.6999999999998,35,347,152,0,0,0,BU03610302,WK036103,GM0361,3755.0,38,18,1319450.0,0.8571428571428571,21,978.0,True,4285.444409999998,3942.608857199999,110333.74988595792,114276.35874315792,0.9654993482417372,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429
1813EC,1775.0,0.0,760.15,34,443,152,0,0,0,BU03610302,WK036103,GM0361,1260.0,19,19,292320.0,0.8571428571428571,21,661.0,True,2896.399545,2664.6875814000005,4167.8446785999995,6832.53226,0.6099999999999999,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429
1813ED,2658.0,46.0,1041.8999999999999,23,548,232,0,0,0,BU03610302,WK036103,GM0361,1198.0,12,12,263560.0,1.0,12,906.0,True,3969.951569999999,3652.355444399999,5712.658515599999,9365.013959999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813EE,2119.0,398.0,1058.0,21,547,232,0,80,10,BU03610302,WK036103,GM0361,1175.0,12,12,263555.0,1.0,12,920.0,True,4031.297400000001,3708.793608000001,5800.933592,9509.727200000001,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813EG,1608.0,53.0,1090.1999999999998,23,547,224,0,0,0,BU03610302,WK036103,GM0361,1204.0,12,12,269930.0,1.0,12,948.0,True,4153.989059999999,3821.6699351999996,5977.483744799998,9799.153679999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813EH,1525.0,0.0,990.15,35,525,151,0,0,0,BU03610302,WK036103,GM0361,1238.0,19,19,277220.0,0.9047619047619048,21,861.0,True,3772.768545,3470.9470614,5428.9171986,8899.86426,0.61,0.9047619047619048,0.09523809523809523,0.9047619047619048,0.09523809523809523,0.9047619047619048,0.09523809523809523
1813EJ,1465.0,0.0,721.05,30,346,152,0,0,0,BU03610302,WK036103,GM0361,1130.0,17,17,267465.0,0.8947368421052632,19,627.0,True,2747.416815,2527.6234698000003,3953.4623502,6481.08582,0.61,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.10526315789473684
1813EK,1267.0,0.0,1053.3999999999999,33,345,152,0,0,0,BU03610302,WK036103,GM0361,1274.0,19,18,304220.0,0.8571428571428571,21,916.0,True,4013.7700199999995,3692.6684183999996,5775.7121416,9468.38056,0.61,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429
1813EL,2120.0,0.0,863.65,22,547,229,0,0,0,BU03610302,WK036103,GM0361,1184.0,12,12,261820.0,1.0,12,751.0,True,3290.7655949999994,3027.5043473999995,4735.3273125999995,7762.831659999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813EM,1118.0,3.0,1105.1499999999999,42,1053,244,0,0,0,BU03610302,WK036103,GM0361,1318.0,5,5,460770.0,0.10869565217391304,46,961.0,True,4210.953044999999,3874.0768013999996,6059.4534586,9933.53026,0.61,0.10869565217391304,0.8913043478260869,0.10869565217391304,0.8913043478260869,0.10869565217391304,0.8913043478260869
1813EN,2012.0,321.0,1105.1499999999999,42,1053,234,0,0,0,BU03610302,WK036103,GM0361,1941.0,18,18,480827.5,0.6923076923076923,26,961.0,True,4210.953044999999,3874.0768013999996,6059.4534586,9933.53026,0.61,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077
1813EP,2154.0,3.0,883.1999999999999,23,547,228,0,70,10,BU03610302,WK036103,GM0361,1194.0,12,12,338680.0,1.0,12,768.0,True,3365.2569599999997,3096.0364031999998,4842.5184768,7938.55488,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813ER,1921.0,0.0,952.1999999999999,30,349,152,0,0,0,BU03610302,WK036103,GM0361,1184.0,18,18,267320.0,0.9,20,828.0,True,3628.16766,3337.9142472000003,5220.840232799999,8558.75448,0.61,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.09999999999999998
1813ES,1444.0,0.0,621.0,33,346,165,0,0,0,BU03610302,WK036103,GM0361,1182.0,18,18,275150.0,0.9,20,540.0,True,2366.1963,2176.900596,3404.895804,5581.7964,0.61,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.09999999999999998
1813ET,1641.0,0.0,804.9999999999999,34,417,165,0,0,0,BU03610302,WK036103,GM0361,1258.0,19,19,308605.0,0.8571428571428571,21,700.0,True,3067.2914999999994,2821.9081799999994,4413.75382,7235.661999999999,0.61,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.1428571428571429
1813EV,2146.0,8.0,1000.4999999999999,22,585,0,40,60,5,BU03610302,WK036103,GM0361,1224.0,12,12,350980.0,1.0,12,870.0,True,3812.20515,3507.228738,5485.665461999999,8992.894199999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JA,2878.0,26.0,0.0,0,0,152,0,0,0,BU03610302,WK036103,GM0361,1404.0,21,0,191182.5,0.875,24,0.0,True,0.0,0.0,191182.5,191182.5,1.0,0.875,0.125,0.875,0.125,0.875,0.125
1813JB,1793.0,13.0,0.0,0,0,152,0,0,0,BU03610302,WK036103,GM0361,1146.0,18,0,140625.0,1.0,18,0.0,True,0.0,0.0,140625.0,140625.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1813JC,1651.0,912.0,0.0,0,0,159,0,0,0,BU03610302,WK036103,GM0361,1320.0,21,0,174900.0,1.0,21,0.0,True,0.0,0.0,174900.0,174900.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1813JD,2095.0,663.0,1015.4499999999999,31,554,158,0,0,0,BU03610302,WK036103,GM0361,1576.0,26,6,264367.5,1.0,26,883.0,True,3869.1691349999996,3559.6356041999998,5567.635175799999,9127.270779999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JE,1219.0,563.0,1081.0,52,2633,145,0,0,0,BU03610302,WK036103,GM0361,4682.0,70,6,338405.0,0.9210526315789473,76,940.0,True,4118.9343,3789.419556,92945.46941542857,96734.88897142856,0.9608267544802865,0.9210526315789473,0.07894736842105265,0.9210526315789473,0.07894736842105265,0.9210526315789473,0.07894736842105265
1813JG,2234.0,0.0,1081.0,52,2633,181,30,70,10,BU03610302,WK036103,GM0361,1779.0,23,23,560180.0,0.9565217391304348,23,940.0,True,4118.9343,3789.419556,5927.040844,9716.4604,0.61,0.9565217391304348,0.04347826086956519,0.9565217391304348,0.04347826086956519,0.9565217391304348,0.04347826086956519
1813JH,1031.0,0.0,691.15,35,1231,143,40,70,0,BU03610302,WK036103,GM0361,850.0,20,20,251655.0,1.0,20,601.0,True,2633.488845,2422.8097374,3789.522922599999,6212.332659999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JJ,1632.0,0.0,510.59999999999997,35,1231,143,80,30,0,BU03610302,WK036103,GM0361,850.0,20,18,263450.0,1.0,20,444.0,True,1945.53918,1789.8960456,2799.5809944,4589.47704,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JK,2384.0,0.0,565.8,34,1231,142,60,40,0,BU03610302,WK036103,GM0361,850.0,20,20,264290.0,1.0,20,492.0,True,2155.8677399999997,1983.3983208,3102.2383991999995,5085.6367199999995,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JL,1816.0,0.0,1200.6,36,836,170,0,0,0,BU03610302,WK036103,GM0361,1292.0,18,18,330507.5,1.0,18,1044.0,True,4574.64618,4208.6744856,6582.798554399999,10791.473039999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JM,1387.0,0.0,1067.1999999999998,31,509,163,0,0,0,BU03610302,WK036103,GM0361,1071.0,16,16,300170.0,1.0,16,928.0,True,4066.3521599999995,3741.0439871999997,5851.376492799999,9592.420479999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JN,879.0,361.0,0.0,0,0,0,0,0,0,BU03610302,WK036103,GM0361,801.0,15,0,148207.5,0.7777777777777778,18,0.0,True,0.0,0.0,148207.5,148207.5,1.0,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222
1813JP,1053.0,1.0,800.4,42,3426,147,0,0,0,BU03610302,WK036103,GM0361,1432.0,24,24,437245.0,0.6666666666666666,36,696.0,True,3049.76412,2805.7829904,4388.5323696,7194.31536,0.61,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337
1813JR,2181.0,167.0,1115.5,34,1005,243,30,70,10,BU03610302,WK036103,GM0361,1986.0,19,19,496097.5,0.95,20,970.0,True,4250.38965,3910.358478,6116.201722,10026.5602,0.61,0.95,0.050000000000000044,0.95,0.050000000000000044,0.95,0.050000000000000044
1813JS,2004.0,0.0,1072.9499999999998,35,1009,170,0,0,0,BU03610302,WK036103,GM0361,1298.0,18,18,329922.5,1.0,18,933.0,True,4088.261384999999,3761.200474199999,5882.903305799999,9644.103779999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JT,1324.0,0.0,945.3,28,685,162,0,0,0,BU03610302,WK036103,GM0361,1055.0,16,16,309575.0,1.0,16,822.0,True,3601.876589999999,3313.7264627999994,5183.008057199999,8496.734519999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JV,1134.0,422.0,1060.3,46,2775,175,0,0,0,BU03610302,WK036103,GM0361,7467.0,99,24,1155877.5,0.9340659340659341,91,922.0,True,4040.0610899999992,3716.8562027999997,624616.650377806,628333.506580606,0.9940845806186159,0.9340659340659341,0.06593406593406592,0.9340659340659341,0.06593406593406592,0.9340659340659341,0.06593406593406592
1813JW,1379.0,0.0,768.1999999999999,33,691,165,0,0,0,BU03610302,WK036103,GM0361,1182.0,18,18,288700.0,0.9,20,668.0,True,2927.0724599999994,2692.9066631999995,4211.9822168,6904.8888799999995,0.6100000000000001,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.09999999999999998
1813JX,1553.0,0.0,951.05,54,1629,163,0,100,0,BU03610302,WK036103,GM0361,2165.0,30,30,631772.5,1.0,30,827.0,True,3623.785815,3333.8829498000005,5214.5348702,8548.41782,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813JZ,2068.0,0.0,1222.4499999999998,29,779,193,0,0,0,BU03610302,WK036103,GM0361,1359.0,16,16,429775.0,1.0,16,1063.0,True,4657.901234999999,4285.2691362,6702.600443799999,10987.869579999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KA,2289.0,371.0,1880.2499999999998,43,1649,260,90,0,0,BU03610303,WK036103,GM0361,3254.0,30,25,1064280.0,0.96,25,1635.0,True,7164.316574999999,6591.171248999999,10309.267850999997,16900.439099999996,0.61,0.96,0.040000000000000036,0.96,0.040000000000000036,0.96,0.040000000000000036
1813KB,2531.0,722.0,1091.35,40,2170,269,0,0,0,BU03610303,WK036103,GM0361,764.0,7,7,243362.5,0.875,8,949.0,True,4158.370904999999,3825.7012325999995,5983.789107399999,9809.490339999998,0.61,0.875,0.125,0.875,0.125,0.875,0.125
1813KC,2416.0,1076.0,1091.35,40,2170,278,100,0,0,BU03610303,WK036103,GM0361,1478.0,14,14,549660.0,1.0,14,949.0,True,4158.370904999999,3825.7012325999995,5983.789107399999,9809.490339999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KD,1436.0,0.0,647.4499999999999,47,5154,252,0,0,0,BU03610303,WK036103,GM0361,2062.0,25,25,311550.0,1.0,25,563.0,True,2466.9787349999997,2269.6204362,3549.9191438,5819.53958,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KE,5319.0,494.0,923.4499999999999,27,4584,364,100,0,0,BU03610303,WK036103,GM0361,4799.0,36,16,1166447.5,0.9375,16,803.0,True,3518.6215349999993,3237.1318121999993,296675.0811678,299912.21298,0.9892064021667037,0.9375,0.0625,0.9375,0.0625,0.9375,0.0625
1813KG,2731.0,627.0,1206.35,54,2915,279,80,20,0,BU03610303,WK036103,GM0361,3638.0,33,30,1036247.5,0.9411764705882353,34,1049.0,True,4596.555404999999,4228.8309726,6614.3253674,10843.15634,0.61,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472
1813KH,2435.0,827.0,1013.15,28,956,265,70,0,0,BU03610303,WK036103,GM0361,1514.0,15,15,558865.0,1.0,15,881.0,True,3860.405445,3551.5730094,5555.024450599999,9106.597459999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KJ,2407.0,292.0,948.7499999999999,28,1135,257,80,0,0,BU03610303,WK036103,GM0361,1463.0,15,15,463270.0,1.0,15,825.0,True,3615.0221249999995,3325.820355,5201.924144999999,8527.744499999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KK,2580.0,623.0,1145.3999999999999,27,1323,265,90,0,0,BU03610303,WK036103,GM0361,1550.0,15,15,534022.5,1.0,15,996.0,True,4364.31762,4015.1722104,6280.1411496,10295.31336,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KL,2048.0,347.0,1107.4499999999998,27,758,256,70,30,0,BU03610303,WK036103,GM0361,1458.0,15,15,536702.5,1.0,15,963.0,True,4219.716735,3882.1393962,6072.064183799999,9954.20358,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KM,1591.0,436.0,1223.6,28,762,252,70,0,0,BU03610303,WK036103,GM0361,1531.0,15,15,509872.5,1.0,15,1064.0,True,4662.28308,4289.3004336,6708.905806399999,10998.20624,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813KN,13197.0,0.0,6932.2,20,11475,288,0,0,0,BU03610303,WK036103,GM0361,24390.0,196,11,3611172.5,0.3170731707317073,82,6028.0,True,26413.761660000004,24300.660727200004,3280694.235956881,3304994.8966840813,0.9926472925112286,0.3170731707317073,0.6829268292682926,0.3170731707317073,0.6829268292682926,0.3170731707317073,0.6829268292682926
1813KP,2978.0,336.0,0.0,0,0,0,0,0,0,BU03610303,WK036103,GM0361,1310.0,10,0,265275.0,0.0,1,0.0,True,0.0,0.0,265275.0,265275.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1813KR,2978.0,336.0,1346.6499999999999,48,2017,260,70,30,0,BU03610303,WK036103,GM0361,2953.0,28,25,1026967.5,0.8518518518518519,27,1171.0,True,5131.140495,4720.6492554,7383.5796046,12104.22886,0.61,0.8518518518518519,0.14814814814814814,0.8518518518518519,0.14814814814814814,0.8518518518518519,0.14814814814814814
1813KS,2140.0,381.0,1416.8,30,2070,239,90,0,0,BU03610303,WK036103,GM0361,1862.0,17,17,649022.5,0.7727272727272727,22,1232.0,True,5398.43304,4966.5583968,7768.2067232,12734.76512,0.61,0.7727272727272727,0.2272727272727273,0.7727272727272727,0.2272727272727273,0.7727272727272727,0.2272727272727273
1813KT,2435.0,339.0,1309.85,46,3102,229,80,20,0,BU03610303,WK036103,GM0361,2557.0,24,24,828027.5,0.8,30,1139.0,True,4990.921455,4591.6477386,7181.8080014,11773.45574,0.61,0.8,0.19999999999999996,0.8,0.19999999999999996,0.8,0.19999999999999996
1813KV,0.0,0.0,0.0,0,0,0,0,0,0,BU03610303,WK036103,GM0361,7937.0,63,0,2844640.0,0.0,20,0.0,True,0.0,0.0,2844640.0,2844640.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1813KW,2271.0,132.0,1036.1499999999999,128,6774,261,60,40,0,BU03610303,WK036103,GM0361,6830.0,81,70,1429892.5,0.8586956521739131,92,901.0,True,3948.042344999999,3632.198957399999,5681.131702599999,9313.330659999998,0.61,0.8586956521739131,0.14130434782608692,0.8586956521739131,0.14130434782608692,0.8586956521739131,0.14130434782608692
1813KX,3150.0,1617.0,1645.6499999999999,29,2920,0,90,0,0,BU03610303,WK036103,GM0361,2480.0,15,15,661952.5,1.0,15,1431.0,True,6270.420195000001,5768.786579400001,9022.973880599999,14791.76046,0.6099999999999999,1.0,0.0,1.0,0.0,1.0,0.0
1813KZ,4739.0,1658.0,1407.6,61,2286,580,0,0,0,BU03610303,WK036103,GM0361,1663.0,8,8,452115.0,1.0,8,1224.0,True,5363.378279999999,4934.308017599999,7717.763822399999,12652.071839999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LA,1585.0,0.0,1407.6,61,2286,182,0,0,0,BU03610302,WK036103,GM0361,1934.0,24,24,543327.5,1.0,24,1224.0,True,5363.378279999999,4934.308017599999,7717.763822399999,12652.071839999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LB,1466.0,0.0,767.05,39,665,164,0,0,0,BU03610302,WK036103,GM0361,1501.0,22,22,358397.5,1.0,22,667.0,True,2922.6906149999995,2688.8753657999996,4205.6768542,6894.55222,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LC,1586.0,0.0,1007.4,45,1174,183,0,0,0,BU03610302,WK036103,GM0361,1980.0,24,24,556347.5,0.96,25,876.0,True,3838.4962199999995,3531.4165224,5523.497637599999,9054.914159999998,0.61,0.96,0.040000000000000036,0.96,0.040000000000000036,0.96,0.040000000000000036
1813LD,1505.0,0.0,750.9499999999999,39,673,164,0,0,0,BU03610302,WK036103,GM0361,1501.0,22,22,439910.0,1.0,22,653.0,True,2861.344785,2632.4372022,4117.4017778,6749.8389799999995,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LE,1416.0,0.0,1059.1499999999999,44,909,182,0,0,0,BU03610302,WK036103,GM0361,1952.0,24,24,532495.0,1.0,24,921.0,True,4035.679245,3712.8249054,5807.238954599999,9520.063859999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LG,1637.0,0.0,1016.5999999999999,38,675,166,0,0,0,BU03610302,WK036103,GM0361,1497.0,22,22,391162.5,1.0,22,884.0,True,3873.5509799999995,3563.6669015999996,5573.9405384,9137.60744,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1813LH,8548.0,168.0,3103.85,26,2133,220,60,0,0,BU03610302,WK036103,GM0361,2003.0,18,15,734830.0,0.6111111111111112,18,2699.0,True,11826.599655,10880.4716826,17018.1736574,27898.64534,0.61,0.6111111111111112,0.38888888888888884,0.6111111111111112,0.38888888888888884,0.6111111111111112,0.38888888888888884
