Solar_data
Time,G_Gh,G_Dh,G_Bn,Ta,hs,FF,Az
2026-01-20 15:00:00,95.23036111111108,86.92058308876547,42.13065497368029,-2.4,11.375507572156176,0.8,221.37016056812536
2026-01-20 16:00:00,10.359027777777778,10.261736783639055,1.3838113211003373,-2.6,4.031594383492555,0.8,233.5075260695454
2026-01-20 17:00:00,0.0,0.0,0.0,-3.1,-4.521891882880911,0.8,244.70918083884288
2026-01-20 18:00:00,0.0,0.0,0.0,-3.5,-13.888611406900374,0.8,255.38055620625425
2026-01-20 19:00:00,0.0,0.0,0.0,-3.9,-23.7214678041507,0.8,266.056307231687
2026-01-20 20:00:00,0.0,0.0,0.0,-4.2,-33.679465248054285,0.8,277.4488848875392
2026-01-20 21:00:00,0.0,0.0,0.0,-4.4,-43.34743265335337,0.8,290.6024064749429
2026-01-20 22:00:00,0.0,0.0,0.0,-4.5,-52.08477402461651,0.8,307.1364798424745
2026-01-20 23:00:00,0.0,0.0,0.0,-4.7,-58.7656707910518,0.8,329.18112580907484
2026-01-21 00:00:00,0.0,0.0,0.0,-4.9,-61.67890134847582,0.8,357.1819805195431
2026-01-21 01:00:00,0.0,0.0,0.0,-5.2,-59.647790128452215,0.8,25.88844157055007
2026-01-21 02:00:00,0.0,0.0,0.0,-5.4,-53.525563958697894,0.8,49.137746917363074
2026-01-21 03:00:00,0.0,0.0,0.0,-5.7,-45.06077166425613,0.8,66.53405950232354
2026-01-21 04:00:00,0.0,0.0,0.0,-5.8,-35.49861425549449,0.8,80.1702837687817
2026-01-21 05:00:00,0.0,0.0,0.0,-5.9,-25.547188294495356,0.8,91.79345170388842
2026-01-21 06:00:00,0.0,0.0,0.0,-5.9,-15.64870333531516,0.8,102.53593818479709
2026-01-21 07:00:00,4.725166666666564,4.725166666666564,0.0,-5.8,-6.149875599629183,0.8,113.15776687033639
2026-01-21 08:00:00,86.50697222222237,86.50697222222237,0.0,-5.8,2.6079781074605894,0.8,124.22173855102875
2026-01-21 09:00:00,201.18322222222213,33.19523166666665,945.0032980417473,-5.3,10.23957227606409,0.8,136.16104378160588
2026-01-21 10:00:00,292.41533333333336,56.805772191326945,839.5093058955763,-4.5,16.299093181659835,0.8,149.2503327237111
2026-01-21 11:00:00,343.48355555555577,83.33419507167814,749.3699312956436,-3.6,20.313550784405155,0.8,163.49566928245713
2026-01-21 12:00:00,343.3018055555556,112.88771956025185,618.139305073959,-3.0,21.885582906937678,0.8,178.52276900348056
2026-01-21 13:00:00,281.6928611111108,148.28876345062176,375.0457068754757,-2.6,20.83640738764942,0.8,193.62969034191133
2026-01-21 14:00:00,176.10347222222222,142.51784261762174,113.02129432993486,-2.2,17.2872234774948,0.8,208.07821993774917
2026-01-21 15:00:00,74.14883333333354,71.88865225461207,11.23747178151333,-2.1,11.60298564555483,0.8,221.4160014367408
2026-01-21 16:00:00,7.814694444444548,7.762185822762697,0.7081551601788608,-2.3,4.252296996384863,0.8,233.57949554242444
2026-01-21 17:00:00,0.0,0.0,0.0,-2.7,-4.30833701505774,0.8,244.80085553479785
2026-01-21 18:00:00,0.0,0.0,0.0,-3.0,-13.680809469528887,0.8,255.4879389748864
2026-01-21 19:00:00,0.0,0.0,0.0,-3.4,-23.516723358815728,0.8,266.17703591693623
2026-01-21 20:00:00,0.0,0.0,0.0,-3.7,-33.47392780327755,0.8,277.58041405069946
2026-01-21 21:00:00,0.0,0.0,0.0,-4.2,-43.13616040827587,0.8,290.7377198520357
2026-01-21 22:00:00,0.0,0.0,0.0,-4.5,-51.86272664293715,0.8,307.2529263256175
2026-01-21 23:00:00,0.0,0.0,0.0,-4.8,-58.532957166674755,0.8,329.2192661790175
2026-01-22 00:00:00,0.0,0.0,0.0,-5.1,-61.45236895537969,0.8,357.06076139778327
2026-01-22 01:00:00,0.0,0.0,0.0,-5.2,-59.45426745688895,0.8,25.628922156304043
2026-01-22 02:00:00,0.0,0.0,0.0,-5.4,-53.37044391523733,0.8,48.84313562630291
2026-01-22 03:00:00,0.0,0.0,0.0,-5.7,-44.93180936326737,0.8,66.2572542316475
2026-01-22 04:00:00,0.0,0.0,0.0,-6.0,-35.382494739878794,0.8,79.92004985502041
2026-01-22 05:00:00,0.0,0.0,0.0,-6.2,-25.43376423620347,0.8,91.56565159451259
2026-01-22 06:00:00,0.0,0.0,0.0,-6.2,-15.530342938279897,0.8,102.3251112167161
2026-01-22 07:00:00,3.0895277777774672,3.0895277777774672,0.0,-5.9,-6.020461470874523,0.8,112.96018651651639
2026-01-22 08:00:00,55.79336111111101,55.79336111111101,0.0,-5.9,2.753558275464412,0.8,124.03645721602993
2026-01-22 09:00:00,134.30388888888888,80.83454437227161,296.0475964492081,-5.7,10.405329604314927,0.8,135.9907389481599
2026-01-22 10:00:00,201.72844444444453,131.44309599985206,247.65727402583008,-4.9,16.487183817253477,0.8,149.10192653914044
2026-01-22 11:00:00,232.9872499999999,167.263631357899,187.46875208141,-3.8,20.52306335565962,0.8,163.3794998819344
2026-01-22 12:00:00,226.6264444444448,180.87862474451754,121.53578113604179,-2.6,22.111759195749954,0.8,178.4488875259326
2026-01-22 13:00:00,183.37294444444436,163.4542496727942,55.40142133444675,-1.8,21.071580302896756,0.8,193.60256217610146
2026-01-22 14:00:00,120.12838888888868,115.24392970140818,16.222252472711176,-1.3,17.523457597794867,0.8,208.09449768454198
2026-01-22 15:00:00,55.97508333333354,55.0008898788558,4.7501718800165795,-1.1,11.834529807620973,0.8,221.46741894049785
2026-01-22 16:00:00,6.724277777777881,6.687335900830791,0.4733201906711858,-1.1,4.4763956830569995,0.8,233.65735289569537
2026-01-22 17:00:00,0.0,0.0,0.0,-1.3,-4.0919038864938,0.8,244.89860150765918
2026-01-22 18:00:00,0.0,0.0,0.0,-1.5,-13.470466823359768,0.8,255.60157533242648
2026-01-22 19:00:00,0.0,0.0,0.0,-1.8,-23.30957782769279,0.8,266.3042865206366
2026-01-22 20:00:00,0.0,0.0,0.0,-1.9,-33.26590462937465,0.8,277.7188752088309
2026-01-22 21:00:00,0.0,0.0,0.0,-2.0,-42.922046005122496,0.8,290.88053843056787
2026-01-22 22:00:00,0.0,0.0,0.0,-2.1,-51.63713810972296,0.8,307.3775676000365
