date,PV1.pv_gen
2026-01-20 15:00:00,0.065
2026-01-20 16:00:00,0.008
2026-01-20 17:00:00,0.0
2026-01-20 18:00:00,0.0
2026-01-20 19:00:00,0.0
2026-01-20 20:00:00,0.0
2026-01-20 21:00:00,0.0
2026-01-20 22:00:00,0.0
2026-01-20 23:00:00,0.0
2026-01-21,0.0
2026-01-21 01:00:00,0.0
2026-01-21 02:00:00,0.0
2026-01-21 03:00:00,0.0
2026-01-21 04:00:00,0.0
2026-01-21 05:00:00,0.0
2026-01-21 06:00:00,0.0
2026-01-21 07:00:00,0.004
2026-01-21 08:00:00,0.065
2026-01-21 09:00:00,0.025
2026-01-21 10:00:00,0.043
2026-01-21 11:00:00,0.458
2026-01-21 12:00:00,0.084
2026-01-21 13:00:00,0.289
2026-01-21 14:00:00,0.105
2026-01-21 15:00:00,0.053
2026-01-21 16:00:00,0.006
2026-01-21 17:00:00,0.0
2026-01-21 18:00:00,0.0
2026-01-21 19:00:00,0.0
2026-01-21 20:00:00,0.0
2026-01-21 21:00:00,0.0
2026-01-21 22:00:00,0.0
2026-01-21 23:00:00,0.0
2026-01-22,0.0
2026-01-22 01:00:00,0.0
2026-01-22 02:00:00,0.0
2026-01-22 03:00:00,0.0
2026-01-22 04:00:00,0.0
2026-01-22 05:00:00,0.0
2026-01-22 06:00:00,0.0
2026-01-22 07:00:00,0.002
2026-01-22 08:00:00,0.042
2026-01-22 09:00:00,0.061
2026-01-22 10:00:00,0.098
2026-01-22 11:00:00,0.225
2026-01-22 12:00:00,0.133
2026-01-22 13:00:00,0.143
2026-01-22 14:00:00,0.085
2026-01-22 15:00:00,0.041
2026-01-22 16:00:00,0.005
2026-01-22 17:00:00,0.0
2026-01-22 18:00:00,0.0
2026-01-22 19:00:00,0.0
2026-01-22 20:00:00,0.0
2026-01-22 21:00:00,0.0
