weather_forecast
time,forecast_time,station,air_pressure,air_temperature_2m,wind_speed_10m,global_horizontal_irradiation,latitude,longitude
2026-01-21T23:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",983.2126,-5.1,2.1095023109728985,0.0,48.2550000000002,16.36199999999984
2026-01-22T00:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",982.5626,-5.2,2.080865204668481,0.0,48.2550000000002,16.36199999999984
2026-01-22T01:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",981.9188,-5.4,2.0,0.0,48.2550000000002,16.36199999999984
2026-01-22T02:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",981.1511,-5.7,1.8027756377319946,0.0,48.2550000000002,16.36199999999984
2026-01-22T03:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",980.4764,-6.0,1.5652475842498528,0.0,48.2550000000002,16.36199999999984
2026-01-22T04:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",980.0059,-6.2,1.392838827718412,0.0,48.2550000000002,16.36199999999984
2026-01-22T05:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",979.7521,-6.2,1.414213562373095,0.0,48.2550000000002,16.36199999999984
2026-01-22T06:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",979.6406,-5.9,1.9416487838947598,3.0895277777774672,48.2550000000002,16.36199999999984
2026-01-22T07:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",979.6221,-5.9,2.039607805437114,55.79336111111101,48.2550000000002,16.36199999999984
2026-01-22T08:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",979.5600999999999,-5.7,2.0223748416156684,134.30388888888888,48.2550000000002,16.36199999999984
2026-01-22T09:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",979.3249000000001,-4.9,2.0615528128088303,201.72844444444453,48.2550000000002,16.36199999999984
2026-01-22T10:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.9659,-3.8,2.23606797749979,232.9872499999999,48.2550000000002,16.36199999999984
2026-01-22T11:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.452,-2.6,2.3853720883753127,226.62644444444476,48.2550000000002,16.36199999999984
2026-01-22T12:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.1053999999999,-1.8,2.420743687382041,183.37294444444433,48.2550000000002,16.36199999999984
2026-01-22T13:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",977.9630000000001,-1.3,2.280350850198276,120.12838888888868,48.2550000000002,16.36199999999984
2026-01-22T14:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.0435000000001,-1.1,2.202271554554524,55.975083333333544,48.2550000000002,16.36199999999984
2026-01-22T15:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.2167999999999,-1.1,2.1400934559032696,6.724277777777881,48.2550000000002,16.36199999999984
2026-01-22T16:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.3963000000001,-1.3,2.220360331117452,0.0,48.2550000000002,16.36199999999984
2026-01-22T17:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.5697,-1.5,2.0615528128088303,0.0,48.2550000000002,16.36199999999984
2026-01-22T18:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.6935000000001,-1.8,1.7492855684535902,0.0,48.2550000000002,16.36199999999984
2026-01-22T19:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.7554,-1.9,1.7492855684535902,0.0,48.2550000000002,16.36199999999984
2026-01-22T20:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.8049000000001,-2.0,1.7492855684535902,0.0,48.2550000000002,16.36199999999984
2026-01-22T21:00:00+00:00,"""2026-01-20T09:00+00:00""","""11035""",978.842,-2.1,1.7492855684535902,0.0,48.2550000000002,16.36199999999984
